Relation Data
ID,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5
1,0.165,0.844,0.448,0.535,0.671
2,0.842,0.065,0.028,0.059,0.522
3,0.372,0.300,0.862,0.224,0.746
4,0.779,0.043,0.225,0.994,0.005
5,0.750,0.214,0.358,0.456,0.243
6,0.033,0.484,0.773,0.898,0.999
7,0.614,0.056,0.603,0.163,0.700
8,0.176,0.637,0.536,0.550,0.390
9,0.367,0.663,0.391,0.141,0.679
10,0.912,0.414,0.575,0.095,0.516
11,0.993,0.204,0.959,0.685,0.240
12,0.123,0.895,0.117,0.504,0.389
13,0.990,0.799,0.209,0.480,0.796
14,0.332,0.173,0.217,0.296,0.897
15,0.167,0.206,0.440,0.593,0.003
16,0.627,0.719,0.125,0.913,0.144
17,0.513,0.726,0.286,0.831,0.643
18,0.735,0.119,0.264,0.597,0.497
19,0.685,0.351,0.455,0.106,0.992
20,0.042,0.363,0.047,0.574,0.792
21,0.768,0.973,0.049,0.549,0.287
22,0.701,0.646,0.078,0.232,0.989
23,0.615,0.614,0.312,0.850,0.014
24,0.221,0.966,0.911,0.896,0.735
25,0.126,0.852,0.297,0.836,0.918
26,0.024,0.769,0.611,0.994,0.176
27,0.433,0.977,0.706,0.615,0.613
28,0.447,0.310,0.235,0.205,0.019
29,0.741,0.594,0.831,0.434,0.294
30,0.619,0.710,0.633,0.673,0.580
31,0.903,0.030,0.522,0.685,0.278
32,0.111,0.474,0.040,0.090,0.961
33,0.199,0.707,0.556,0.563,0.703
34,0.323,0.161,0.060,0.359,0.051
35,0.769,0.763,0.749,0.648,0.735
36,0.361,0.423,0.074,0.376,0.645
37,0.115,0.401,0.127,0.083,0.776
38,0.708,0.623,0.743,0.028,0.314
39,0.791,0.393,0.301,0.938,0.721
40,0.075,0.939,0.349,0.738,0.106
41,0.048,0.623,0.648,0.245,0.710
42,0.391,0.524,0.702,0.448,0.378
43,0.807,0.796,0.532,0.054,0.697
44,0.316,0.762,0.469,0.023,0.058
45,0.886,0.208,0.790,0.592,0.690
46,0.916,0.632,0.040,0.093,0.043
47,0.240,0.541,0.310,0.292,0.635
48,0.107,0.242,0.759,0.847,0.800
49,0.770,0.889,0.165,0.484,0.575
50,0.208,0.616,0.948,0.423,0.230
51,0.750,0.847,0.597,0.079,0.128
52,0.746,0.313,0.135,0.118,0.515
53,0.487,0.450,0.770,0.481,0.206
54,0.778,0.517,0.028,0.597,0.789
55,0.464,0.778,0.570,0.471,0.807
56,0.114,0.092,0.749,0.737,0.539
57,0.205,0.105,0.799,0.322,0.042
58,0.315,0.267,0.907,0.426,0.474
59,0.583,0.849,0.498,0.162,0.242
60,0.385,0.988,0.928,0.840,0.308
61,0.370,0.286,0.172,0.522,0.178
62,0.066,0.359,0.486,0.149,0.248
63,0.001,0.799,0.743,0.428,0.268
64,0.329,0.775,0.613,0.633,0.606
65,0.586,0.392,0.706,0.707,0.204
66,0.415,0.241,0.473,0.405,0.725
67,0.920,0.702,0.473,0.731,0.974
68,0.926,0.693,0.510,0.040,0.448
69,0.313,0.693,0.914,0.633,0.792
70,0.395,0.006,0.802,0.615,0.527
71,0.406,0.721,0.906,0.370,0.390
72,0.344,0.292,0.438,0.127,0.411
73,0.266,0.543,0.106,0.501,0.344
74,0.442,0.492,0.376,0.860,0.602
75,0.240,0.790,0.180,0.455,0.278
76,0.447,0.414,0.933,0.492,0.473
77,0.488,0.244,0.570,0.584,0.543
78,0.602,0.965,0.119,0.209,0.051
79,0.393,0.235,0.247,0.650,0.293
80,0.866,0.415,0.985,0.641,0.495
81,0.190,0.417,0.341,0.386,0.150
82,0.514,0.177,0.700,0.416,0.838
83,0.977,0.830,0.514,0.626,0.202
84,0.354,0.451,0.937,0.637,0.270
85,0.567,0.514,0.269,0.525,0.952
86,0.963,0.684,0.413,0.832,0.840
87,0.547,0.128,0.329,0.878,0.796
88,0.592,0.459,0.934,0.204,0.703
89,0.026,0.151,0.871,0.322,0.350
90,0.494,0.018,0.622,0.378,0.075
91,0.187,0.934,0.796,0.625,0.582
92,0.837,0.222,0.055,0.805,0.043
93,0.412,0.303,0.716,0.582,0.685
94,0.571,0.453,0.891,0.454,0.586
95,0.945,0.673,0.836,0.789,0.380
96,0.824,0.783,0.164,0.167,0.285
97,0.109,0.006,0.923,0.416,0.044
98,0.072,0.860,0.374,0.693,0.406
99,0.765,0.026,0.868,0.657,0.450
100,0.118,0.297,0.813,0.128,0.791
101,0.127,0.122,0.709,0.032,0.981
102,0.424,0.393,0.334,0.565,0.234
103,0.275,0.650,0.967,0.704,0.879
104,0.708,0.337,0.025,0.688,0.917
105,0.609,0.912,0.770,0.334,0.268
106,0.575,0.523,0.685,0.958,0.969
107,0.436,0.965,0.886,0.197,0.510
108,0.963,0.578,0.615,0.624,0.944
109,0.511,0.620,0.739,0.807,0.557
110,0.067,0.264,0.267,0.975,0.992
111,0.317,0.999,0.879,0.639,0.884
